fid,X,Y,Ex,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,URBAN_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
408,9.867,46.101,0.0080799452486031,0.0952722375768587,0.054820371585484626,0.8648468316532157,0.06931061164143494,0.03478793970479921,0.0008914691148626473,0.004135147790638245,0.21559822938790385
409,9.867,46.167,0.0079698227632105,0.09913630140945867,0.058667485775215765,0.8611968905500232,0.0767098612479834,0.03467360334916492,0.0008809012816386602,0.004135147790638245,0.23320647040973347
410,9.867,46.233,0.0042911834322817,0.10336102870785666,0.06791248411049897,0.8472070306347467,0.08613589898676095,0.042801759526951345,0.0008914691148626473,0.004135147790638245,0.2640136144448066
411,9.867,46.299,0.0019827642861393,0.027694656357167967,0.01941825249439383,0.952512622381807,0.02556349889071021,0.011358105158063634,0.0,0.0,0.08402520610786474
412,9.867,46.365,0.0006490086833728,0.02689567551682785,0.020198767124903427,0.9485512317181344,0.021041944868084698,0.0173921177720379,0.0,0.0,0.07725693330477586
413,9.933,45.111,0.6959101159195915,0.8203249661901814,0.2074866263113056,0.058663987692014495,0.17358881268499224,0.22068304436453784,0.20263962465278823,0.6327954873585847,0.3963884370280211
414,9.933,45.177,0.7308674484131054,0.8901352995913162,0.1688602264659297,0.041246651618014295,0.14569999449575,0.17516313908028358,0.20069287002975622,0.7391038831374538,0.38735431729830083
415,9.933,45.243,0.799353782630673,0.9322293587849305,0.15499556171705664,0.03430144036648001,0.1308953241942971,0.16364572359527396,0.14172315474108163,0.8099295560415594,0.3951412574068008
416,9.933,45.309,0.8212678418561021,0.9420675157422673,0.14544436150711013,0.034936004635065215,0.1413380461574959,0.13495188832787455,0.10755928109087966,0.8701685724576393,0.4136305307204146
417,9.933,45.375,0.8357232463404614,0.9209168713306733,0.16347313880465641,0.03973173184694006,0.15455911668842823,0.15599299142632606,0.11819678239348372,0.9141437609725395,0.437860282808732
418,9.933,45.441,0.9012978441630498,0.8960419455951893,0.21140299011718322,0.026460053399411806,0.204348474484879,0.19720648104869742,0.1013225454730373,0.9519476476367088,0.5375552473201428
419,9.933,45.507,0.8836210784797964,0.8286416712126211,0.28013633227670076,0.034437732899672086,0.2749739422244398,0.257087204064046,0.13733959918289226,0.8324951998576768,0.577133713950016
420,9.933,45.573,0.7151819135249009,0.6718026676920016,0.36076386078727274,0.09662806183102272,0.37816891386658724,0.30686582881610536,0.09032216311440071,0.5279831916019914,0.6109935355631931
421,9.933,45.639,0.5295096549798476,0.4790708962661298,0.31531981767700323,0.29877539070055537,0.3583839764137762,0.2402106850291718,0.07800804273999754,0.22206707989782906,0.46559029812214914
422,9.933,45.705,0.3924955144955704,0.3366378711640256,0.23203479079597067,0.48667124797092703,0.2891318494543842,0.15123342969874567,0.029335917542569746,0.03777292884220921,0.36074978724705964
423,9.933,45.771,0.193990996709533,0.25495217915442475,0.13664975866478066,0.6534952376238028,0.1889085451478782,0.07035879230597697,0.0009212178066625159,0.0009030405521858725,0.2534498104874854
424,9.933,45.837,0.0756319439790332,0.2297657446848074,0.12526605236831875,0.6930682364934805,0.17511749614938227,0.06254722006779438,0.00015209476501682503,0.0027791336500984217,0.24298542330217585
425,9.933,45.903,0.0213899429014574,0.16525581131656966,0.08922359320216412,0.7818829407389285,0.1265580284824404,0.04273768485363123,0.00015209476501682503,0.002565555410073153,0.18712817460799044
426,9.933,45.969,0.0096783457362628,0.10218067252183288,0.05284447652089477,0.8638377635555342,0.0819555556625847,0.018307303704986597,0.0,0.0025408689711394743,0.1267953660335768
427,9.933,46.035,0.0075480274146548,0.04723429733339877,0.014010132779779822,0.9406022780831226,0.02373086010216229,0.002900857224107973,0.0,0.0,0.0654440295897857
428,9.933,46.101,0.0078199479307664,0.10241236966197431,0.05744831241814817,0.8591575505599477,0.07956681113334556,0.02947824739917488,0.001007542045069545,0.0031113788101362417,0.23366434292369856
429,9.933,46.167,0.0075856620707753,0.1020556591969176,0.05988905512407806,0.8583315899242948,0.08398467776216113,0.029683764925071843,0.00027433660754954244,0.0031113788101362417,0.25953469065311
430,9.933,46.233,0.003936724620859,0.11064324554709379,0.07152431744349061,0.8380893220538578,0.0978891035952775,0.037860428314953745,0.0010720247359539959,0.0032795614485219846,0.29844098061199575
431,9.933,46.299,0.0017085327714,0.025094430371930983,0.01910757711105046,0.9544762082415345,0.026333537346582503,0.00999194277788693,0.0,0.0,0.0948634001548812
432,9.933,46.365,0.0004766211752067,0.024408537189297606,0.02019368615598575,0.9499387744789768,0.022588833591594547,0.01582669780731888,0.0,0.0,0.07560847880927919
433,9.999,45.045,0.6030510943927588,0.7513101947979481,0.24498254551790616,0.07731382511710018,0.2434470208791415,0.22184021017598143,0.2309134043188272,0.5206169911823905,0.5273865728099653
434,9.999,45.111,0.708802264421529,0.8370224635945993,0.23217175152402322,0.0432570698845825,0.20506863513715823,0.23603865567947804,0.17034610317935592,0.6230923168444149,0.5091754897244626
