fid,f,f_class,I,I_class,Ex,Ex_class,f_Nones,f_Nzeros,I_Nones,I_Nzeros,Ex_Nones,Ex_Nzeros
38,0.3620689655172414,3.0,1.5034486927684718,3.0,0.5443521128989295,3.0,10.0,0.0,21.0,0.0,17.0,0.0
39,0.3620689655172414,3.0,1.5313309530903754,3.0,0.5544474140499634,3.0,10.0,0.0,22.0,0.0,17.0,0.0
40,0.3793103448275862,3.0,1.5424949266928902,3.0,0.5850842825386825,3.0,11.0,0.0,22.0,0.0,18.0,0.0
41,0.39655172413793105,3.0,1.5904433666644802,3.0,0.6306930591945352,3.0,12.0,0.0,23.0,0.0,20.0,0.0
42,0.39655172413793105,3.0,1.6245161085734612,3.0,0.6442046637446485,3.0,12.0,0.0,23.0,0.0,20.0,0.0
43,0.3793103448275862,3.0,1.6181470679510124,3.0,0.613779922326246,3.0,11.0,0.0,23.0,0.0,19.0,0.0
44,0.3620689655172414,3.0,1.5521417417141397,3.0,0.5619823547585678,3.0,10.0,0.0,22.0,0.0,17.0,0.0
45,0.3620689655172414,3.0,1.4170861534508399,3.0,0.5130829176287524,3.0,10.0,0.0,20.0,0.0,16.0,0.0
46,0.29310344827586204,2.0,1.3934475473330223,3.0,0.40842428111485135,3.0,4.0,1.0,19.0,0.0,12.0,0.0
47,0.29310344827586204,2.0,1.048261016757907,3.0,0.30724891870490373,3.0,4.0,1.0,13.0,0.0,8.0,0.0
48,0.20689655172413793,2.0,0.8620955741069022,3.0,0.17836460153935907,2.0,2.0,4.0,9.0,0.0,3.0,1.0
49,0.10344827586206896,2.0,0.583508864576955,2.0,0.06036298599071949,2.0,1.0,20.0,3.0,1.0,5.0,16.0
50,0.06896551724137931,1.0,0.37190314920904627,2.0,0.025648493048899743,2.0,0.0,26.0,1.0,2.0,2.0,40.0
51,0.034482758620689655,1.0,0.3421094025491084,2.0,0.011796875949969254,1.0,0.0,31.0,1.0,3.0,0.0,50.0
52,0.3448275862068966,3.0,1.3821747179730632,3.0,0.4766119717148494,3.0,9.0,0.0,19.0,0.0,14.0,0.0
53,0.3620689655172414,3.0,1.44885661092037,3.0,0.5245860142987546,3.0,10.0,0.0,20.0,0.0,16.0,0.0
54,0.3620689655172414,3.0,1.5221861203140794,3.0,0.5511363539068218,3.0,10.0,0.0,21.0,0.0,17.0,0.0
55,0.3793103448275862,3.0,1.516194115103278,3.0,0.5751081126253813,3.0,11.0,0.0,21.0,0.0,18.0,0.0
56,0.3793103448275862,3.0,1.5922323976906325,3.0,0.6039502198136881,3.0,11.0,0.0,23.0,0.0,19.0,0.0
57,0.41379310344827586,3.0,1.6313937754979932,3.0,0.6750594933095144,3.0,13.0,0.0,24.0,0.0,21.0,0.0
58,0.4482758620689655,3.0,1.5797950935052332,3.0,0.7081840074333804,3.0,16.0,0.0,23.0,0.0,22.0,0.0
59,0.4482758620689655,3.0,1.5475906812239104,3.0,0.6937475467555461,3.0,16.0,0.0,22.0,0.0,22.0,0.0
60,0.41379310344827586,3.0,1.627916916673045,3.0,0.6736207931060876,3.0,13.0,0.0,23.0,0.0,21.0,0.0
61,0.3793103448275862,3.0,1.6836435305980473,3.0,0.63862340815788,3.0,11.0,0.0,25.0,0.0,20.0,0.0
62,0.3620689655172414,3.0,1.5929455660372207,3.0,0.576756153220373,3.0,10.0,0.0,23.0,0.0,18.0,0.0
63,0.3275862068965517,2.0,1.4484686454415239,3.0,0.47449834936877505,3.0,7.0,0.0,20.0,0.0,14.0,0.0
64,0.29310344827586204,2.0,1.150870648636138,3.0,0.33732415563473006,3.0,4.0,1.0,15.0,0.0,9.0,0.0
