fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
300,9.537,45.705,0.8518518518518519,-7.353061169096327,10.321394915392816,2.956784212517281,-0.27826889185998227,0.3764174435480046,-15.018410416901977,-3.4107162053195523,3.4754712874253513
301,9.537,45.771,0.7777777777777778,-10.432204504666043,11.74208443633837,3.044734300146618,0.06668881333076385,-0.3621717136603542,-25.623564154547402,-2.680189072256541,2.977999453025788
302,9.537,45.837,0.5925925925925926,-13.137824380147295,11.755964336161343,2.8868031281627635,0.19343100661662335,-3.2905268736778917,-26.750948425539526,-3.381597739424028,0.45080727213733146
303,9.537,45.903,0.3333333333333333,-15.32579795790771,11.724893118101285,2.847158616741666,0.19838804319207218,-3.624126873540881,-27.753250540000632,-4.448941933759925,-1.0892794261720096
304,9.537,45.969,0.3333333333333333,-16.90852374558817,11.61610625483089,2.9004004107437185,0.18499047515633374,-3.895513144962236,-28.909542022274668,-5.996298453779656,-1.4450196901285608
305,9.537,46.035,0.1111111111111111,-18.13767468995412,11.695530530554983,3.0101362234620495,-0.048011832913182756,-3.774481179239025,-29.738989959735385,-7.5524254132101625,-1.793514507751363
306,9.537,46.101,0.074074074074074,-19.061670836467375,11.961258482239307,3.3715914896446337,-0.5910629810758956,-3.0709814131230933,-30.227562496260624,-9.124600689961905,-3.079939119187526
307,9.537,46.167,0.074074074074074,-19.83915263391964,12.482622142032135,4.126404845324219,-1.534011709955504,-1.5144209256670398,-30.428167095814782,-10.721850344163467,-6.04289841293926
308,9.537,46.233,0.0,-20.419338041449446,13.119782369274844,5.1748897524674655,-2.4984620139447755,0.13405244421956902,-30.671098073735738,-12.475781230588215,-7.844521163986414
309,9.537,46.299,0.0,-20.993085436038772,13.853012790624216,5.919183180679136,-3.2112924438375128,1.0524577186490465,-30.98669681140457,-14.145217981982583,-8.266268379977868
310,9.537,46.365,0.0,-21.568176610288383,14.762711327151457,6.562009197824111,-3.736424716267803,1.4926525160266615,-31.961595282679234,-16.274170731621517,-8.772249869366563
311,9.603,45.111,0.8888888888888888,-1.5009071951913597,2.1688085376411737,0.7900222588757673,-0.2634846777282113,-0.5812666223230463,-0.1124857172796551,-0.15665350117799437,0.5737320694094996
312,9.603,45.177,0.925925925925926,-1.620302178699349,2.199299546621443,1.1630338234115163,-0.2638502488228214,-0.5359078263914209,-0.5691584058366947,-0.13977162180040947,0.7792265563654441
313,9.603,45.243,0.925925925925926,-1.906231657490168,2.228797687680194,1.8552382611965985,-0.22640769331518606,-0.5872435662212832,-0.7945854470993139,-0.13300405516613262,0.9107929507995973
314,9.603,45.309,0.925925925925926,-2.3307896516668425,2.259841920108414,2.189514607260387,-0.17404026578341147,-0.5922462960240571,-0.8015915080946068,-0.12651389915316655,0.9810521975417233
315,9.603,45.375,0.925925925925926,-2.853746141443131,2.3298175323746957,2.4611739852196566,-0.14330131073601024,-0.4279074372882647,-1.0427416986002258,-0.08204770402552941,1.2555774840787497
316,9.603,45.441,0.925925925925926,-3.5898705790013734,2.3284253070592977,2.60147441851194,-0.02312791725834578,-0.3789611786018623,-0.9262271240916193,-0.08836964604595547,1.3727555751967997
317,9.603,45.507,0.9629629629629628,-4.247203707364906,2.610488015966155,2.6699861477078373,-0.1122198000177298,-0.1660541586228793,-2.046753440186629,0.13778850885424437,2.0403178603566423
318,9.603,45.573,0.925925925925926,-5.3900433624207755,2.652429581109209,2.6924621683245484,0.14655458202645288,-0.21192751833260443,-2.6629398046338015,0.12434342263290143,2.222704793635408
319,9.603,45.639,0.8888888888888888,-6.691621150733697,3.6866645855892255,2.7558112068429246,0.4737116021080775,-0.1728654994044389,-3.7775366423625467,-0.4156231230194979,2.4908370703085203
320,9.603,45.705,0.8518518518518519,-8.084958358578742,9.928305114177645,2.8425963324626027,0.1570953936925433,0.1602267100406942,-20.897772906427235,-2.063359813791006,3.1387616994244936
321,9.603,45.771,0.7407407407407407,-10.716194868568124,11.055851789480013,2.880515124644731,0.03812126517571286,-0.36781002873787405,-24.65769121269512,-1.8172190490001132,2.823237444862899
322,9.603,45.837,0.5925925925925926,-12.99679192649917,10.89592716275239,2.631517085136926,0.29772393697881655,-3.168693946677864,-25.70630588108754,-2.696997605964451,0.6522067461306236
323,9.603,45.903,0.3333333333333333,-14.913039539182119,10.81018814162271,2.451600873755651,0.28914264615050944,-3.4788515187498774,-26.609557006998543,-3.7687023591165048,-0.9339369997957419
324,9.603,45.969,0.2222222222222222,-16.345595874336265,10.714338834427359,2.420445470378798,0.25501920657583077,-3.6552715773635103,-27.633975970996033,-5.211952135794226,-1.2679475922089867
325,9.603,46.035,0.1111111111111111,-17.44839152702976,10.756987756051652,2.4801656179998517,0.05026828532785568,-3.5023738460964906,-28.38520015630282,-6.666270461254083,-1.5729583977119432
326,9.603,46.101,0.074074074074074,-18.30348524284117,11.046466562415322,2.743043336098811,-0.46398975875053683,-2.7775279079074098,-28.76787880166005,-8.040474682065081,-2.684255202870135
327,9.603,46.167,0.0,-18.96117546650781,11.489453338212718,3.3410415907259083,-1.255533397213023,-1.4802211215177672,-28.927303894047476,-9.363561175573963,-5.129288509650927
328,9.603,46.233,0.0,-19.37450590355737,11.920368725868338,4.13565789550541,-1.965039668511484,-0.2961729807337933,-29.102509900190785,-10.644765544012206,-6.785328308707746
329,9.603,46.299,0.0,-19.804317436771047,12.311760968903586,4.686118763820956,-2.4404053981216265,0.3952556163371501,-28.990605558422736,-11.305106652082463,-7.0627762829516305
330,9.669,45.045,0.8888888888888888,-1.4979263074325257,2.2551696683304354,0.7596131343229873,-0.3513052654448092,-0.6223945941288965,-0.21823856556960639,-0.1862296082526757,0.3734966561093985
331,9.669,45.111,0.8888888888888888,-1.547330410457549,2.2339643605354413,0.6537093862427968,-0.3417893157749349,-0.6169578721589198,-0.12724319831949954,-0.1857202451112328,0.42222292206509265
332,9.669,45.177,0.925925925925926,-1.6557571681491268,2.2791573494941932,0.6550994586870017,-0.34551745636818154,-0.5766721490891791,-0.2934889615826184,-0.147862717869808,0.5111826258696641
333,9.669,45.243,0.925925925925926,-1.919018342504891,2.3131875047264523,1.8386682176791191,-0.32937467575471124,-0.49390501467019704,-0.9419785601987765,-0.12352607704121253,0.8687887976143656
334,9.669,45.309,0.925925925925926,-2.3307491485898466,2.3455433447925254,2.306391573420539,-0.28639931111268113,-0.46875625478028804,-0.9935785270693971,-0.09695758036950253,1.026394326791133
335,9.669,45.375,0.925925925925926,-2.8891837505963847,2.3762781432831153,2.472202904978458,-0.2164715102499074,-0.4326617287894057,-1.2005255204763747,-0.061967184065515685,1.2206553221541232
336,9.669,45.441,0.925925925925926,-3.6353896901268374,2.37163494667886,2.601349818608579,-0.08392285971046218,-0.3962882233694715,-1.0456528048059441,-0.05371200962505089,1.29628940149174
337,9.669,45.507,0.9629629629629628,-4.303681098686276,2.6465828309662487,2.6956792139144325,-0.16359630064003097,-0.16236091052624613,-1.6945177928269093,0.12157342302511125,1.9771068110891425
338,9.669,45.573,0.925925925925926,-5.476784167730852,2.681976804716287,2.706758435304244,0.11727629429996836,-0.19855492888348616,-2.1353166439508797,0.12457769440873492,2.1596642521073686
339,9.669,45.639,0.8888888888888888,-6.853820596105894,3.286009907524345,2.7600018677503275,0.514952157029557,-0.17894311496987597,-3.2606285071557295,-0.328365375494299,2.356856588882404
340,9.669,45.705,0.8518518518518519,-8.226109582816221,9.223441610820075,2.829099304054113,0.24775391845659192,0.13028484904451237,-19.480775171844556,-1.3527494852311608,2.915799857848043
341,9.669,45.771,0.7037037037037037,-10.619810484998917,10.195551106603018,2.8261524279694905,0.1959873293771738,-0.3803269991346885,-23.278622199143868,-1.1387486968151723,2.4228693713756555
342,9.669,45.837,0.5555555555555556,-12.47331935285551,9.77860180592945,2.3555446435020677,0.49373765323178054,-3.1296922095385487,-24.5111527762692,-2.1523726427265117,0.24136390382038725
343,9.669,45.903,0.3333333333333333,-14.181549101149665,9.670361761688387,1.9679595106204624,0.40388140383834736,-3.3474903126744833,-25.31708196526239,-3.160903842303052,-0.720431911568222
344,9.669,45.969,0.1851851851851851,-15.553524112572171,9.645630922989525,1.9316713780511503,0.29335736773722176,-3.3665362556339398,-26.112137628222076,-4.352268280131611,-1.0111197118500348
345,9.669,46.035,0.1111111111111111,-16.565411058201263,9.647204483952958,1.96191684545463,0.11423700575668304,-3.205352565739856,-26.768501205771543,-5.618190287822651,-1.275927356650394
346,9.669,46.101,0.074074074074074,-17.375450320183706,9.926150584320645,2.185760739891027,-0.3396543902123908,-2.538984309960578,-27.05649281246294,-6.764159304349353,-2.1212668971498276
347,9.669,46.167,0.0,-17.93337058650957,10.264646629333685,2.614694318039551,-0.9538188604190845,-1.5208518399893034,-27.201071348686995,-7.860066975498151,-3.839812965888449
348,9.669,46.233,0.0,-18.246614803509935,10.552713071580609,3.1019064623199446,-1.437339884431241,-0.6847711822195945,-27.30875102248634,-8.798913967043017,-5.202544449507574
349,9.669,46.299,0.0,-18.59118199073464,10.812362157406024,3.227934889068015,-1.6992032815619313,-0.21475833307761513,-27.036659318932468,-9.02792944450713,-5.346208113749837
350,9.735,45.045,0.8888888888888888,-1.488296568730008,2.2795384116549466,0.9859609612975943,-0.3770253751073389,-0.5331550935454066,-0.23612530657987435,-0.19073758036577937,0.097122902825639
351,9.735,45.111,0.925925925925926,-1.5225904942251192,2.293576655583741,0.9742523994395786,-0.3870893138391159,-0.6283794368419023,-0.2134847123064375,-0.17957742968320486,0.2970219486289986
352,9.735,45.177,0.925925925925926,-1.64528881542657,2.3286205053207207,1.0553980702470553,-0.40749734737824317,-0.49597995535118705,-0.20467684008752884,-0.14703946094098452,0.38149131677751735
353,9.735,45.243,0.925925925925926,-1.8994869347312617,2.3612860907513653,1.180355667812555,-0.41196867161704054,-0.40783415562967973,-0.35526151250182747,-0.11555282339014415,0.7062277650035194
354,9.735,45.309,0.925925925925926,-2.272489725584202,2.4115871888697025,1.5023136121181913,-0.4128155267431811,-0.3068990810586497,-1.2456081062064368,-0.06978241889715928,1.067089857538909
355,9.735,45.375,0.925925925925926,-2.8098098415681867,2.4399126383897562,2.392854940389666,-0.36045572694230277,-0.2965461850002694,-1.3725295793169057,-0.0354121100694217,1.303920799438178
356,9.735,45.441,0.8888888888888888,-3.4777879247126426,2.489520107240393,2.6431089367332077,-0.29454652131021386,-0.23783047413689185,-1.3692787630389216,0.002369479154495896,1.393083009893413
357,9.735,45.507,0.925925925925926,-4.119323167989455,2.7290032614438546,2.7642602099037332,-0.3843454196043239,0.04848084571679072,-1.506259046379991,0.1292937700637658,1.985990879904857
358,9.735,45.573,0.925925925925926,-5.170990419282705,2.792314799846469,2.7789103266939916,-0.19182134189670774,-0.00946423453101691,-1.7902186898926353,0.1565615758847612,2.111025388377518
359,9.735,45.639,0.8888888888888888,-6.3911633070170035,3.0561820492888097,2.831277883530865,0.0804617470135813,0.030957927571679818,-2.329924063583575,0.03547747699963374,2.4421333137400696
360,9.735,45.705,0.8518518518518519,-7.808521352079172,7.807552470005475,2.8921721730464736,-0.13334593147639232,0.3610836082351469,-15.834811996710862,-0.9128506989121355,3.0476760632642956
361,9.735,45.771,0.7037037037037037,-10.054198450920687,9.21632913735401,2.8514813350164347,0.15784270799869016,-0.20801984311864458,-21.841003361167097,-0.7706791320674078,2.3540007439140416
