fid,X,Y,f,Intercept,NAT_AREA_SURR,INDUSTRIAL_AREA_SURR,ROADS_SURR
281,9.471,45.903,0.1551724137931034,0.18157984574848823,-0.6648655501404892,0.19401362668051295,0.03356125752409665
282,9.471,45.969,0.0862068965517241,-0.01960086187253317,-0.6785777891165512,0.22786759219064917,-0.006739693623679113
283,9.471,46.035,0.0344827586206896,-0.18666134182004457,-0.6833428478837354,0.2389260617856692,-0.044387027650699774
284,9.471,46.101,0.0517241379310344,-0.3334055790482388,-0.681035357969525,0.248379228373881,-0.06706940079215683
285,9.471,46.167,0.0517241379310344,-0.45709305778012593,-0.679460601299438,0.26256946930698033,-0.07923997227333703
286,9.471,46.233,0.0172413793103448,-0.5555030420530418,-0.6555970163915237,0.23583700191907314,-0.0857167257103402
287,9.471,46.299,0.0172413793103448,-0.5477263229080473,-0.6319079316439636,0.18939559916235654,-0.08966263145476414
288,9.471,46.365,0.0172413793103448,-0.5074501747898056,-0.6126230496660368,0.16764419858902335,-0.09224622630036229
289,9.471,46.431,0.0172413793103448,-0.5052514533565963,-0.6034001319693982,0.16410181954463118,-0.09397846375978638
290,9.471,46.497,0.0172413793103448,-0.5075798034466854,-0.6007082949761102,0.1681006277191363,-0.09536192971607674
291,9.537,45.111,0.396551724137931,0.11274945739124659,-0.6157000149681343,-0.08555871723015207,0.058036574854339086
292,9.537,45.177,0.4655172413793103,0.18828661269292796,-0.6484500153357986,-0.11862464507458577,0.07357402743919499
293,9.537,45.243,0.4655172413793103,0.28920152761683643,-0.692366137273964,-0.10407079596101648,0.08705067148903287
