fid,X,Y,Ex,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
391,9.801,46.365,0.0004453947545439,-0.49257312990838664,-0.5985206023556958,0.19114979938758522,-0.20395589228657393
392,9.867,45.045,0.6737707766254682,-0.2583869859286615,-0.9729858531833749,0.07998549443345183,0.15352493605761486
393,9.867,45.111,0.8124978103086002,-0.17962310256609149,-1.0544573545562435,0.07295966669601733,0.10603501648338863
394,9.867,45.177,0.9222605053910709,-0.0939335266837579,-1.1337226710363735,0.04289007660855725,-0.20621508045164058
395,9.867,45.243,0.963334688109623,-0.029032515988952384,-1.1850229955087077,-0.008736847585936382,-0.18760516978521152
396,9.867,45.309,1.019386628194293,0.051154133397636435,-1.2478711218415834,0.03274405220421965,-0.09189811615583365
397,9.867,45.375,1.0790210945374603,0.13682709588321917,-1.3157868584619576,0.0861238671474987,0.030693209045005367
398,9.867,45.441,1.1505067915373322,0.20655749385551384,-1.3672977837149358,0.04534437366738191,0.018763478637155065
399,9.867,45.507,1.127888289552503,0.22659531257897744,-1.3715735235650646,-0.020735776702526087,-0.04732381200464852
400,9.867,45.573,1.0135190351097796,0.22756324789767723,-1.3508906491302515,-0.03554847602746681,-0.06982063752340231
401,9.867,45.639,0.8222885459921155,0.24303481671336785,-1.3412899174027588,-0.02432856964078721,-0.03434864551105676
402,9.867,45.705,0.5779454135924,0.18920271747928863,-0.941154824845668,0.020386352865854274,0.02182213481103041
403,9.867,45.771,0.3266676504951969,0.031151451075912717,-0.7156265873639827,0.1396451569052429,-0.05138267382753357
404,9.867,45.837,0.1581133243704891,-0.13566072645391045,-0.7095244294078433,0.2622325309372342,-0.08517291750459959
405,9.867,45.903,0.0627572198143712,-0.24775340173512703,-0.6858286926369885,0.25226787741716133,-0.10950412749572744
406,9.867,45.969,0.0158783805264172,-0.3132179743009027,-0.6558510419268309,0.2217726666779729,-0.13731030718174272
407,9.867,46.035,0.0086972649684108,-0.3597966565570903,-0.6345434134132943,0.1991033851068412,-0.15542798445584474
408,9.867,46.101,0.0055133744049292,-0.41202905005286183,-0.627923861363952,0.1919266366950296,-0.1604223528966104
409,9.867,46.167,0.0054382320031319,-0.45651126362540806,-0.622798205386782,0.1938578034447505,-0.15884006162902098
410,9.867,46.233,0.0029281016361451,-0.4806441707462963,-0.6083342945273966,0.18079394034624294,-0.18649284461045593
411,9.867,46.299,0.0013529450423068,-0.4956669643502703,-0.599845159589949,0.17452388814324243,-0.19966383231081897
412,9.867,46.365,0.0004428529839485,-0.5039813652388592,-0.5987726900823609,0.17226039944013705,-0.19945623086433031
413,9.933,45.111,0.8740999741348531,-0.09773498377760775,-1.1175985549378007,0.058762253026033884,-0.11277881988696631
414,9.933,45.177,0.9670675313311848,-0.047965798708743373,-1.1573025890048614,0.04995295782363021,-0.18849762294492706
415,9.933,45.243,0.9618071823864434,-0.010406985075159662,-1.1779615853738834,-0.016900520562062985,-0.17292917728851512
416,9.933,45.309,1.0013506148207238,0.045191600228535724,-1.2134424563703787,-0.056012392812888084,-0.053892507730845
417,9.933,45.375,1.0458330170985466,0.11880275878247121,-1.2648122490210605,0.08352158754531977,-0.044292719600038305
418,9.933,45.441,1.1058069171260914,0.17994712420608472,-1.301684992001847,0.06449496560280317,-0.05364943108774629
419,9.933,45.507,1.1037171231730205,0.2053477452869612,-1.3051294998245684,0.02135560584710864,-0.08696477929233215
