fid,X,Y,f,Intercept,AGRI_AREA_BLOCK,BUILT_AREA_BLOCK,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_SURR,SIARL_9_BLOCK,ROADS_BLOCK
144,9.141,44.847,0.2,0.3655885654442046,-0.3591881679478116,-0.13277010785702942,-1.657525993542949,0.10635926774265811,-0.024694607574828706,0.41748837199509464,-0.026231301002560832
145,9.141,44.913,0.2823529411764706,0.26201477940490336,0.19889327893665898,-0.03783667355496805,-1.264829051718116,0.2168394649293294,-0.05751351895017161,0.5152973055765019,-0.0706874715089509
146,9.141,44.979,0.4,0.21601297776790204,0.29550511510678223,-0.027532138859135136,-0.5408197184233637,0.24107962963086033,-0.044194616045879556,0.5045045724544183,-0.033664490337597414
147,9.141,45.045,0.4823529411764706,0.1282007429182182,0.30530988264619174,-0.02535111958406359,-0.4670232908418098,0.24523703545302872,-0.05160549035976241,0.5012337256138822,-0.029365097972341544
148,9.141,45.111,0.5176470588235295,0.011697521218668,0.35190904447879456,-0.008552831648393372,-0.4098827036049341,0.21128395684994675,-0.04892580882720084,0.486445798671192,-0.009885552367271427
149,9.141,45.177,0.5411764705882353,-0.14885295546832733,0.4393207502564501,0.9146028773693412,-0.31912161994458776,-0.5079862672389096,-0.0565063612101369,0.34117123527478155,0.06148238689384173
150,9.141,45.243,0.5647058823529412,-0.32927005456170044,0.5314166357982828,1.0866352469535558,-0.2530782771170652,-0.3885186792918801,-0.15663446819302373,0.2997664578451593,0.2139536141526208
151,9.141,45.309,0.5764705882352941,-0.5476372794624444,0.6181543098235289,1.1646446541644104,-0.20835896316022437,-0.35928381944522014,-0.3997184834237396,0.5945481030882287,0.27678139150203873
152,9.141,45.375,0.5882352941176471,-0.9219873722648869,0.6396067564538903,1.161969442076125,-0.08315491889136428,-0.3655565529716023,-0.5327976912547732,1.1688896551189585,0.2490624337524066
153,9.141,45.441,0.6,-1.3645035509614845,1.7007134518752576,1.1796280669498547,0.009116725621584304,-0.3547654411308291,-1.4158282234172777,1.103157826720761,0.2540497448616945
154,9.141,45.507,0.6235294117647059,-1.746591897094733,2.1154009283419493,1.2133676377232696,-0.05925986719410016,-0.3276946457897542,-2.722650908802228,0.9167075841497488,0.3009941907630126
155,9.141,45.573,0.611764705882353,-2.1827482510096057,2.3499401857618007,1.2343356769146636,-0.14330852913329262,-0.312478083571964,-2.8321289340499063,0.6932617936000947,0.33645683458864845
156,9.141,45.639,0.611764705882353,-2.6710633079768815,2.7885591666172926,1.2867790495293572,-0.38286488772771127,-0.2533149420196786,-5.9811441432040136,-0.03522015720763311,0.394358415838278
157,9.141,45.705,0.5764705882352941,-3.584743593107077,4.686453272734251,1.2612148097821212,-0.2966634741246007,-0.266892715497351,-11.137972785312414,-0.6803847397680968,0.3293612222275425
158,9.141,45.771,0.5176470588235295,-4.530381894362144,5.676162599268734,1.2357980849312837,-0.1152842011903491,-0.31260833722771897,-12.214962356401754,-1.5702096746042036,0.2948554858058506
159,9.141,45.837,0.4,-5.381652877947854,5.908160206355889,1.3045469719410985,-0.0870669818590846,-1.0183083049618398,-12.565661360555707,-2.2829294673271607,0.2737964106333419
160,9.141,45.903,0.3294117647058823,-6.27845423549827,6.167320349474248,2.9777742254761943,-0.27754640737439745,-2.6914410535505366,-12.811059557742471,-2.7903180598976673,-1.4098304761985228
161,9.141,45.969,0.2352941176470588,-7.14728684203579,6.49797818409767,4.639354455928444,-0.6098931987927454,-2.6495740179130483,-13.067943088768875,-3.3359821205198825,-3.284483684970196
162,9.141,46.035,0.1529411764705882,-7.855842064652249,6.870038063624769,5.125354376911924,-0.9919837156995235,-2.5554256551192482,-13.434379703188627,-4.108706416941575,-3.843614145049931
163,9.141,46.101,0.0823529411764705,-8.36813967179612,7.13606460372963,5.3916226939665375,-1.2784446383469652,-2.4246275803405224,-13.843692971838115,-5.006783960146912,-4.169390689435775
164,9.141,46.167,0.0235294117647058,-8.86300109305685,7.407615563840089,5.584666987185915,-1.4865176637642958,-2.2065535236095872,-14.175493034200358,-5.833372880419894,-4.289793817078376
165,9.207,44.715,0.0470588235294117,0.39788208864236,-0.5377575795464143,-0.087037834262971,-1.6893492168383508,0.12971725611873647,0.05936977201966999,0.3997342972755261,0.09471936075119228
166,9.207,44.781,0.0705882352941176,0.38166210062796146,-0.5092971772800297,-0.09645317521521925,-1.7289477066076986,0.12979788431037476,0.08467550279685832,0.44503367410711886,0.04666425780865234
167,9.207,44.847,0.188235294117647,0.36042415679484996,-0.3451895404066907,-0.12828039312859643,-1.6495598541073466,0.12177640159907355,0.13031655067996709,0.4219396133847825,-0.03781049395546638
168,9.207,44.913,0.2705882352941176,0.22509777067162973,0.40058565219712555,-0.03457988409084229,-1.2252400460108546,0.23757272654342734,-0.07105526532948156,0.5369803341027322,-0.10263940917490012
