fid,X,Y,I,Intercept,AGRI_AREA_SURR,NAT_AREA_BLOCK,INDUSTRIAL_AREA_BLOCK,SIARL_2_BLOCK,SIARL_9_SURR,FARMS_BLOCK
116,9.009,45.705,1.6122522469062237,2.5245559204925243,-1.7929492445825612,0.339107936449686,-1.0825776443926487,1.5897847629366957,1.136480232678668,-0.14871980366982465
117,9.009,45.771,1.6386996281757835,3.0988956074547374,-2.753713980652602,1.06825808663787,-1.0826362534988407,8.947129915279953,0.22988789148709426,0.12210836515710581
118,9.009,45.837,1.2619704363755977,3.7478226391579597,-3.030833163183595,-0.5728350427100114,-1.0826931374636224,9.39183611195606,-0.12238728804247032,0.20811616351650852
119,9.009,45.903,0.7854752839793406,4.028496471331301,-2.852679755581576,-0.7401100305437214,-1.0827483474867052,10.650531701320643,0.08896625483654447,0.17012474387908744
120,9.009,45.969,0.4771957640680886,4.167252621457074,-2.7739852365552107,-0.7035971406765161,-1.0828019346873332,11.233291433918449,0.3319086519703852,0.11105347000312428
121,9.009,46.035,0.3408688473373352,4.352589854885992,-2.8839545864409866,-0.6517718136733279,-1.0828539498228011,11.729899897479605,0.5290672284786311,0.08053473541418449
122,9.075,44.781,0.4060224885008458,1.3041251813782657,-0.865997859808058,-1.554807719789451,-1.0814169145116128,-0.5355883202098597,2.1922826065691954,0.9863933155155921
123,9.075,44.847,0.7288931735464168,1.3567412475462295,-0.9936581448978647,-1.5172152133633638,-1.081534759063041,0.03599786014304614,2.11019408820151,0.9071104651194495
124,9.075,44.913,0.9516711379272852,1.438656777996234,-1.1904137783654285,-0.9070390068822105,-1.081626850320178,0.028538126017903797,1.99044020190096,0.570543215513365
125,9.075,44.979,0.8175097982283377,1.4880494555268164,-1.2760811737779636,-0.6251395326516687,-1.0817168973777742,-0.009818933350927324,1.9316357072979626,0.27462087524160916
126,9.075,45.045,1.161632122884836,1.517992082619585,-1.3309502887829106,-0.604704303107759,-1.0818038657472056,0.010754273172543346,1.9484468507899269,0.15090543007649326
127,9.075,45.111,1.2998604263935662,1.556860077647897,-1.4058321801852012,-0.5654260683907075,-1.0818875549671236,0.05090035019963817,1.7906137607599204,0.0921304926913787
128,9.075,45.177,1.4355982762734114,1.6259995492532795,-1.5098739605085925,-0.5350106872783746,-1.0819688978618769,0.061083833534904146,0.8219835154160836,0.007138931936607425
129,9.075,45.243,1.53414405874364,1.7949856216445235,-1.5720409865829335,-0.6018605730685688,-1.0820479101122813,0.20949267795956816,-0.48424136065070783,-0.14591732202020108
130,9.075,45.309,1.6123265179734276,2.020674831600656,-1.6178090478021698,-0.7137981323920711,-1.0821246179685506,0.532396509633446,-0.4624659000806022,-0.2838554996089725
131,9.075,45.375,1.706134138558888,2.3623045513695864,-1.6520883371514978,-0.9166503070538747,-1.0821990562575792,0.9707453479799815,-0.575337597339773,-0.5039930160815038
132,9.075,45.441,1.7569516544328694,2.720127596104799,-1.8071392487273021,-1.106699838063224,-1.0822712666712913,-0.042969005348828165,-0.16056461922339074,-0.8987038973517539
133,9.075,45.507,1.7308159209680674,2.8325514772576508,-2.4030849010622064,-1.0745020015853675,-1.0823412963026748,0.8731714385314298,0.3838638696831203,-1.1967470248110041
134,9.075,45.573,1.6902947656827083,2.741324169980574,-2.5207921294553044,-0.826938781826242,-1.0824091963989666,0.885590685779417,0.7268923579251827,-1.1468835656328282
