fid,X,Y,f,Intercept,NAT_AREA_BLOCK,INDUSTRIAL_AREA_SURR,ROADS_SURR
349,9.669,46.299,0.0117647058823529,-0.2652098769987767,-1.048925129427476,0.16383878600160318,-0.2964802257503319
350,9.735,45.045,0.5529411764705883,0.33424557788366127,-0.46363648532252605,0.051460159321465755,-0.08905643457270535
351,9.735,45.111,0.6,0.37378147344915524,-0.5035999582803574,0.0645854920496448,-0.06019918340918987
352,9.735,45.177,0.611764705882353,0.4123404018771917,-0.5397579905076316,0.014377661410199792,-0.01163102849252852
353,9.735,45.243,0.611764705882353,0.4385875204445712,-0.5608755845600408,-0.10380601311482356,-0.0037864012762621815
354,9.735,45.309,0.6470588235294118,0.4982704249378572,-0.6135125110401927,-0.07459008315092598,0.03861905329905542
355,9.735,45.375,0.6823529411764706,0.5509044151628266,-0.6542302467810516,-0.036928193608843904,0.02982110334744835
356,9.735,45.441,0.6823529411764706,0.5760372916648101,-0.6654991972642561,-0.047691553919242693,0.015642988341213887
357,9.735,45.507,0.6705882352941176,0.5858672450562156,-0.6623441973597741,-0.06360882276043373,-0.006460072692677626
358,9.735,45.573,0.6470588235294118,0.5823729167096026,-0.6470386284495557,-0.07660172916832132,-0.02033322197571842
359,9.735,45.639,0.6,0.5768789103912038,-0.6245711318426057,-0.08304068112520036,-0.021668828201232934
360,9.735,45.705,0.5411764705882353,0.5758948762389219,-0.6717576150818911,-0.07653187108821131,-0.008699742747140072
361,9.735,45.771,0.4117647058823529,0.5523497750509406,-0.8574507484807912,-0.06429288501223868,-0.05777172619436419
362,9.735,45.837,0.3058823529411765,0.46969835890279377,-0.9090011718557254,0.009654357560095262,-0.20015620699008344
363,9.735,45.903,0.1647058823529411,0.29377739907590383,-0.9863670266612838,0.12741056913850013,-0.16500984336407676
364,9.735,45.969,0.0705882352941176,0.11442178050538993,-1.029641808022001,0.184953013500924,-0.17242347540854047
365,9.735,46.035,0.0470588235294117,-0.011800352000693789,-1.0360718593320666,0.1854476738446689,-0.19544951551225576
366,9.735,46.101,0.0235294117647058,-0.1304180483632076,-1.055462648497819,0.20569061178241482,-0.20152153732547937
367,9.735,46.167,0.0117647058823529,-0.22173690830877973,-1.0747545633559614,0.22585814465443516,-0.20717902738784066
368,9.735,46.233,0.0117647058823529,-0.26150275757771696,-1.063469032670898,0.18639257520578828,-0.26491697334934383
369,9.735,46.299,0.0117647058823529,-0.27655520133440625,-1.0512821475886245,0.15018114600108295,-0.2931708927668893
370,9.735,46.365,0.0117647058823529,-0.2849512363608959,-1.0481077457247845,0.13972610820168474,-0.2945891640716968
371,9.801,45.045,0.5764705882352941,0.3663679990487682,-0.4831178559322832,0.06613759512078063,0.08551248914185294
372,9.801,45.111,0.6,0.3976835780232122,-0.5141363480045766,0.07409912029866106,0.07032744723238141
373,9.801,45.177,0.611764705882353,0.4224478221459268,-0.534931747708564,0.009734096850087717,0.029736079070498817
374,9.801,45.243,0.611764705882353,0.45381991871429694,-0.5598552466479225,-0.07137421210705493,-0.006246022486760233
375,9.801,45.309,0.6705882352941176,0.5180642449587112,-0.6149687596158674,-0.019181216270230523,-0.08684073749848872
376,9.801,45.375,0.6823529411764706,0.5826281074464741,-0.6675042295923346,0.012657246768252563,0.011159435766531604
377,9.801,45.441,0.6941176470588235,0.6039159657670621,-0.6748111993078052,-0.02302841784297254,-0.014570315947413868
378,9.801,45.507,0.6705882352941176,0.6018791262365644,-0.6575174603003004,-0.06076011774701865,-0.05664190930048643
379,9.801,45.573,0.6352941176470588,0.6044947738407965,-0.6414630363366903,-0.06774668882615946,-0.060546004280388116
380,9.801,45.639,0.6,0.6142649242303204,-0.6388681867195417,-0.06728666233771885,-0.04781623968820528
381,9.801,45.705,0.5176470588235295,0.6023820630428712,-0.7202916843468534,-0.06365562255447726,-0.04372743190680339
382,9.801,45.771,0.4117647058823529,0.5531463980546742,-0.8674250752770499,-0.049893783045173556,-0.13896824626908694
383,9.801,45.837,0.3058823529411765,0.43768605893068924,-0.9371396955436422,0.06891290462619573,-0.19259290666646955
384,9.801,45.903,0.1647058823529411,0.2562846288419365,-1.006225760907126,0.15062644405556777,-0.1708641379002942
385,9.801,45.969,0.0705882352941176,0.08686463164062116,-1.0376766122578354,0.18159456860963075,-0.1840251761511823
386,9.801,46.035,0.0470588235294117,-0.03727930009995306,-1.0426111079209524,0.17594974183530376,-0.2032689730878751
387,9.801,46.101,0.0235294117647058,-0.15546900425726115,-1.0622856346876222,0.1966962161709711,-0.20465210711061887
